A_in_deg_centrality,B_in_deg_centrality,A_out_deg_centrality,B_out_deg_centrality,A_eigen_centrality,B_eigen_centrality,A_between_centrality,B_between_centrality,A_constraint_centrality,B_constraint_centrality,A_effective_net_size,B_effective_net_size,A_hubs_centrality,B_hubs_centrality,A_author_centrality,B_author_centrality,A_follower_count,A_following_count,A_listed_count,A_mentions_received,A_retweets_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_listed_count,B_mentions_received,B_retweets_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3,class
0.04609218436873747,0.03406813627254509,0.03406813627254509,0.04008016032064128,0.07334077089019511,0.05309103035779271,0.0012159051643459173,0.0010590200336648157,0.03406813627254509,0.04008016032064128,36.6125,30.608108108108105,0.0,0.0023033132245921717,0.00799457835024199,0.006180831963999018,228,302,3,0.583979387611,0.100503358535,0.100503358535,0.100503358535,0.362150068203,2,166.5,11355.0,34463,29808,1689,15.4304976173,3.98402880489,8.20433119845,0.332423043719,6.98881495679,66,75.5303030303,1916.89393939,0
0.04609218436873747,0.03607214428857715,0.03406813627254509,0.02004008016032064,0.07334077089019511,0.05740205769592067,0.0012159051643459173,0.0005538994322507397,0.03406813627254509,0.02004008016032064,36.6125,25.000000000000004,0.0,0.0005764748508025365,0.00799457835024199,0.0047345448271112105,21591,1179,228,90.4565058494,25.7982917525,5.70932864827,1.11115882218,5.17662002447,369,18.4429708223,1330.36604775,39262,848,1610,40.4950207027,8.9436069153,3.22767690032,0.564342728903,1.07032070863,163,132.030674847,2931.51533742,0
0.04609218436873747,0.038076152304609215,0.03406813627254509,0.03006012024048096,0.07334077089019511,0.06396922752070248,0.0012159051643459173,0.0008291688561075633,0.03406813627254509,0.03006012024048096,36.6125,30.058823529411764,0.0,0.005003736598514031,0.00799457835024199,0.0,7310,1215,101,25.5036444818,9.55634744251,5.36151928351,0.591205606947,3.58971842047,95,68.9278350515,5999.89690722,3622,482,206,0.734695580988,0.354378899279,0.603202316762,0.100503358535,0.603202316762,3,10.3333333333,277.333333333,0
0.04609218436873747,0.03607214428857715,0.03406813627254509,0.028056112224448895,0.07334077089019511,0.062242224015748554,0.0012159051643459173,0.0009602286408702083,0.03406813627254509,0.028056112224448895,36.6125,27.3125,0.0,0.0002998639418156622,0.00799457835024199,0.0070739700070079695,20,7,2,7.69082373179,0.277305640849,1.33150797971,0.100503358535,2.83062680131,6,2.0,96.1666666667,19562,17637,278,572.874855518,390.2936809,27.5520404128,7.16755674559,32.1019061639,1762,23.4692957746,1395.8456338,0
0.04609218436873747,0.04008016032064128,0.03406813627254509,0.04008016032064128,0.07334077089019511,0.06617318572742745,0.0012159051643459173,0.0013826716707306963,0.03406813627254509,0.04008016032064128,36.6125,33.75000000000001,0.0,0.0034086405349487824,0.00799457835024199,0.004149602901504254,45589,862,2641,148.854279232,36.998883856,27.8817679309,3.33349180419,23.8612817152,551,127.404293381,2833.84794275,7554,1711,181,21.6018659681,3.58166112737,6.76465704261,1.11972669857,4.56324632433,85,48.5,1993.62790698,1
0.04609218436873747,0.044088176352705406,0.03406813627254509,0.04008016032064128,0.07334077089019511,0.07284326179846519,0.0012159051643459173,0.0016441630576872585,0.03406813627254509,0.04008016032064128,36.6125,37.33333333333333,0.0,0.0028291680628074393,0.00799457835024199,0.005411255946193614,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,11147,1500,474,40.5925124122,5.92300880671,19.6480644548,1.86176520715,12.2610292136,128,107.431818182,2481.13636364,0
0.04609218436873747,0.044088176352705406,0.03406813627254509,0.03607214428857715,0.07334077089019511,0.06710313026315612,0.0012159051643459173,0.001143307995666626,0.03406813627254509,0.03607214428857715,36.6125,35875,0.0,0.006410564638099145,0.00799457835024199,0.0013340300309824498,285735,276251,3417,19.3275815086,7.29201558065,0.100503358535,0.100503358535,0.100503358535,60,44.8064516129,4144.25806452,185616,1001,15117,266.013873916,54.3452304246,13.1119037493,0.334765666801,13.6651725665,928,172.986228814,5321.64618644,0
0.04609218436873747,0.04609218436873747,0.03406813627254509,0.05410821643286573,0.07334077089019511,0.07826232327219902,0.0012159051643459173,0.00338639525496307,0.03406813627254509,0.05410821643286573,36.6125,42.32,0.0,0.005930422001027859,0.00799457835024199,0.00607414779138639,9512,12,213,52.1670684554,23.1822884278,0.362150068203,0.100503358535,6.80604525921,195,11.6785714286,564.040816327,8120,710,959,7.36864290244,2.08837479699,1.59879785994,0.595812012439,1.33284944416,29,205.533333333,4302.46666667,1
0.04609218436873747,0.03406813627254509,0.03406813627254509,0.024048096192384766,0.07334077089019511,0.05654053330913033,0.0012159051643459173,0.0006401922143000498,0.03406813627254509,0.024048096192384766,36.6125,26.155172413793103,0.0,0.0016991076310013658,0.00799457835024199,0.004417762857048204,2273871,4524,11946,6782.40533805,2944.52424508,12.9557232877,2.79186097666,66.2062083002,21678,6.8593643121,1113.2020156,298668,551,6209,493.256379358,206.660552171,4.11521228104,0.854539102098,3.07546280949,2021,75.9700980392,3865.44656863,1
0.04609218436873747,0.044088176352705406,0.03406813627254509,0.04809619238476953,0.07334077089019511,0.06972978611459638,0.0012159051643459173,0.001918027076399546,0.03406813627254509,0.04809619238476953,36.6125,38.793478260869556,0.0,0.004848042207260275,0.00799457835024199,0.0031452414734421574,182598,1402,3831,145.844909693,74.002957632,23.5491892963,0.100503358535,15.9532425551,567,276.496515679,8038.06620209,117913,1299,9950,189.755229794,67.3102230393,11.2948306946,2.56726916744,10.9337661034,791,185.542032622,5535.93977415,0
0.04609218436873747,0.04208416833667334,0.03406813627254509,0.03206412825651302,0.07334077089019511,0.06987111009725398,0.0012159051643459173,0.0011053453185104342,0.03406813627254509,0.03206412825651302,36.6125,29.905405405405407,0.0,0.00514321826334086,0.00799457835024199,0.002014009688530471,3200,3256,146,0.290192078012,0.100503358535,0.362150068203,0.100503358535,0.362150068203,1,0.0,11.0,322682,37601,22232,176.533715916,42.3302213798,6.84922722869,1.3450733981,4.35986544828,696,234.338068182,7168.46448864,0
0.04609218436873747,0.0501002004008016,0.03406813627254509,0.038076152304609215,0.07334077089019511,0.08235454537648802,0.0012159051643459173,0.0016654760092898234,0.03406813627254509,0.038076152304609215,36.6125,39.23863636363638,0.0,0.0028793965281740186,0.00799457835024199,0.006459168711344,3914,1439,165,2.4042122036,1.16194602972,0.100503358535,0.100503358535,0.100503358535,9,18.7777777778,899.0,85138,67047,5103,150.340456123,68.1173657547,5.48034897405,0.100503358535,71.8792737542,568,205.883275261,9580.39547038,0
0.04609218436873747,0.03607214428857715,0.03406813627254509,0.04809619238476953,0.07334077089019511,0.06056991738566308,0.0012159051643459173,0.0021408697221964494,0.03406813627254509,0.04809619238476953,36.6125,37.33333333333333,0.0,0.006961725865137122,0.00799457835024199,0.0008899911086860811,23230,495,826,118.052431863,56.6682926506,6.37320537301,0.840719744654,9.82700494448,466,105.210638298,3589.00425532,750,997,29,2.29246451263,0.312365990981,5.135357861,2.03245873951,4.4231557936,11,192.363636364,3855.72727273,1
